Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,8966199,-,b'São Paulo',b'Brazil',-23.56,-46.63,-3,757,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Temperature,DNI,GHI,Solar Zenith Angle,Wind Speed,Surface Albedo,Cloud Type,Fill Flag
2019,1,1,0,0,0,20.900000000000002,0,0,133.35,2.4000000000000004,0.16,0,0
2019,1,1,0,30,0,20.700000000000003,0,0,133.16,2.3000000000000003,0.16,0,0
2019,1,1,1,0,0,20.6,0,0,131.85,2.2,0.16,0,0
2019,1,1,1,30,0,20.5,0,0,129.51,2,0.16,0,0
2019,1,1,2,0,0,20.400000000000002,0,0,126.28,1.9000000000000001,0.16,0,0
2019,1,1,2,30,0,20.3,0,0,122.31,1.7000000000000002,0.16,0,0
2019,1,1,3,0,0,20.200000000000003,0,0,117.73,1.6,0.16,0,0
2019,1,1,3,30,0,20.1,0,0,112.68,1.4000000000000001,0.16,0,0
2019,1,1,4,0,0,19.900000000000002,0,0,107.25,1.3,0.16,0,0
2019,1,1,4,30,0,20,0,0,101.53,1.3,0.16,0,0
2019,1,1,5,0,0,20.1,0,0,95.57000000000001,1.4000000000000001,0.16,0,0
2019,1,1,5,30,0,20.900000000000002,0,0,89.06,1.7000000000000002,0.16,0,0
2019,1,1,6,0,47,21.8,241,76,83.01,2.1,0.16,0,0
2019,1,1,6,30,77,22.8,437,178,76.64,2,0.16,0,0
2019,1,1,7,0,96,23.900000000000002,578,293,70.14,1.9000000000000001,0.16,0,0
2019,1,1,7,30,111,25.1,672,411,63.550000000000004,1.8,0.16,0,0
2019,1,1,8,0,109,26.400000000000002,778,534,56.89,1.6,0.16,0,0
2019,1,1,8,30,118,27.5,824,645,50.17,1.5,0.16,0,0
2019,1,1,9,0,149,28.6,812,739,43.410000000000004,1.4000000000000001,0.16,0,0
2019,1,1,9,30,156,29.3,841,831,36.61,1.5,0.16,0,0
2019,1,1,10,0,162,30.1,861,910,29.78,1.5,0.16,0,0
2019,1,1,10,30,167,30.6,877,974,22.93,1.6,0.16,0,0
2019,1,1,11,0,173,31,883,1021,16.07,1.7000000000000002,0.16,0,0
