date,Kt_mean,classification
2019-01-01,0.4350695407072341,Parcialmente Nublado
2019-01-02,0.537800815026522,Parcialmente Ensolarado
2019-01-03,0.45792803702276386,Parcialmente Nublado
2019-01-04,0.2895913029291433,Nublado
2019-01-05,0.19892656221672342,Nublado
2019-01-06,0.4740319365403189,Parcialmente Nublado
2019-01-07,0.6549496524384475,Ensolarado
2019-01-08,0.4303440208702568,Parcialmente Nublado
2019-01-09,0.6813922111158952,Ensolarado
2019-01-10,0.6376240938175701,Parcialmente Ensolarado
2019-01-11,0.41871603679589364,Parcialmente Nublado
2019-01-12,0.5962211264053877,Parcialmente Ensolarado
2019-01-13,0.48387167725064434,Parcialmente Nublado
2019-01-14,0.4991995811661728,Parcialmente Nublado
2019-01-15,0.47102087306407775,Parcialmente Nublado
2019-01-16,0.3831752012517779,Parcialmente Nublado
2019-01-17,0.5070607771422737,Parcialmente Ensolarado
2019-01-18,0.45862716023076555,Parcialmente Nublado
2019-01-19,0.5742238438466224,Parcialmente Ensolarado
2019-01-20,0.4889695103237453,Parcialmente Nublado
2019-01-21,0.6288980072736347,Parcialmente Ensolarado
2019-01-22,0.3766481049258283,Parcialmente Nublado
2019-01-23,0.490861922640228,Parcialmente Nublado
2019-01-24,0.4018303266348181,Parcialmente Nublado
2019-01-25,0.2947735927901804,Nublado
2019-01-26,0.5572594950029853,Parcialmente Ensolarado
2019-01-27,0.5317118933035483,Parcialmente Ensolarado
2019-01-28,0.6716198492763593,Ensolarado
2019-01-29,0.4529867955401002,Parcialmente Nublado
2019-01-30,0.5422782114980106,Parcialmente Ensolarado
2019-01-31,0.6654558819233306,Ensolarado
2019-02-01,0.6848586590422161,Ensolarado
2019-02-02,0.6638281803565665,Ensolarado
2019-02-03,0.5376257402416325,Parcialmente Ensolarado
2019-02-04,0.20986614283568614,Nublado
2019-02-05,0.24585077961417362,Nublado
2019-02-06,0.12278430553013922,Nublado
2019-02-07,0.5781471303900017,Parcialmente Ensolarado
2019-02-08,0.6763231666462376,Ensolarado
2019-02-09,0.691384260852215,Ensolarado
2019-02-10,0.5907591351596715,Parcialmente Ensolarado
2019-02-11,0.5150975037518817,Parcialmente Ensolarado
2019-02-12,0.3092634424972004,Nublado
2019-02-13,0.20376141166916406,Nublado
2019-02-14,0.38824734601633065,Parcialmente Nublado
2019-02-15,0.16094142576476517,Nublado
2019-02-16,0.20360372398284945,Nublado
2019-02-17,0.30535485378552496,Nublado
2019-02-18,0.4588879888490411,Parcialmente Nublado
2019-02-19,0.5887988252677036,Parcialmente Ensolarado
2019-02-20,0.43475099488986313,Parcialmente Nublado
2019-02-21,0.3710401635288833,Parcialmente Nublado
2019-02-22,0.3998827635960109,Parcialmente Nublado
2019-02-23,0.5753733303592334,Parcialmente Ensolarado
2019-02-24,0.6140191023540724,Parcialmente Ensolarado
2019-02-25,0.5568728635668273,Parcialmente Ensolarado
2019-02-26,0.2819351562858655,Nublado
2019-02-27,0.3903092594004864,Parcialmente Nublado
2019-02-28,0.15314160801843799,Nublado
2019-03-01,0.2012438437255,Nublado
2019-03-02,0.36398888606306706,Parcialmente Nublado
2019-03-03,0.3943951167520305,Parcialmente Nublado
2019-03-04,0.405118336538513,Parcialmente Nublado
2019-03-05,0.4833874844900909,Parcialmente Nublado
2019-03-06,0.46522634954033304,Parcialmente Nublado
2019-03-07,0.37112954103027396,Parcialmente Nublado
2019-03-08,0.5475586851394662,Parcialmente Ensolarado
2019-03-09,0.4295825083011932,Parcialmente Nublado
2019-03-10,0.4528349234323241,Parcialmente Nublado
2019-03-11,0.25597307516774376,Nublado
2019-03-12,0.4632200641866169,Parcialmente Nublado
2019-03-13,0.4559073825140507,Parcialmente Nublado
2019-03-14,0.3705463122472991,Parcialmente Nublado
2019-03-15,0.36681238289521495,Parcialmente Nublado
2019-03-16,0.3688009357648157,Parcialmente Nublado
2019-03-17,0.29993750800543634,Nublado
2019-03-18,0.5189476622290011,Parcialmente Ensolarado
2019-03-19,0.5242749249004094,Parcialmente Ensolarado
2019-03-20,0.37469574241431647,Parcialmente Nublado
2019-03-21,0.12945558573086027,Nublado
2019-03-22,0.33946563963956033,Nublado
2019-03-23,0.6666865274637238,Ensolarado
2019-03-24,0.6310265110923315,Parcialmente Ensolarado
2019-03-25,0.5688365529086582,Parcialmente Ensolarado
2019-03-26,0.6410534277602862,Parcialmente Ensolarado
