,Year,Month,Day,Hour,Minute,DHI,Temperature,DNI,GHI,Solar Zenith Angle,Wind Speed,Surface Albedo,Cloud Type,Fill Flag,datetime,datetime_utc,datetime_local
0,2019,1,1,0,0,0,20.9,0,0,133.35,2.4000000000000004,0.16,0,0,2019-01-01 00:00:00,2019-01-01 00:00:00+00:00,2019-01-01 00:00:00-02:00
1,2019,1,1,0,30,0,20.700000000000003,0,0,133.16,2.3000000000000003,0.16,0,0,2019-01-01 00:30:00,2019-01-01 00:30:00+00:00,2019-01-01 00:30:00-02:00
2,2019,1,1,1,0,0,20.6,0,0,131.85,2.2,0.16,0,0,2019-01-01 01:00:00,2019-01-01 01:00:00+00:00,2019-01-01 01:00:00-02:00
3,2019,1,1,1,30,0,20.5,0,0,129.51,2.0,0.16,0,0,2019-01-01 01:30:00,2019-01-01 01:30:00+00:00,2019-01-01 01:30:00-02:00
4,2019,1,1,2,0,0,20.4,0,0,126.28,1.9,0.16,0,0,2019-01-01 02:00:00,2019-01-01 02:00:00+00:00,2019-01-01 02:00:00-02:00
5,2019,1,1,2,30,0,20.3,0,0,122.31,1.7000000000000002,0.16,0,0,2019-01-01 02:30:00,2019-01-01 02:30:00+00:00,2019-01-01 02:30:00-02:00
6,2019,1,1,3,0,0,20.200000000000003,0,0,117.73,1.6,0.16,0,0,2019-01-01 03:00:00,2019-01-01 03:00:00+00:00,2019-01-01 03:00:00-02:00
7,2019,1,1,3,30,0,20.1,0,0,112.68,1.4,0.16,0,0,2019-01-01 03:30:00,2019-01-01 03:30:00+00:00,2019-01-01 03:30:00-02:00
8,2019,1,1,4,0,0,19.9,0,0,107.25,1.3,0.16,0,0,2019-01-01 04:00:00,2019-01-01 04:00:00+00:00,2019-01-01 04:00:00-02:00
9,2019,1,1,4,30,0,20.0,0,0,101.53,1.3,0.16,0,0,2019-01-01 04:30:00,2019-01-01 04:30:00+00:00,2019-01-01 04:30:00-02:00
10,2019,1,1,5,0,0,20.1,0,0,95.57,1.4,0.16,0,0,2019-01-01 05:00:00,2019-01-01 05:00:00+00:00,2019-01-01 05:00:00-02:00
11,2019,1,1,5,30,0,20.9,0,0,89.06,1.7000000000000002,0.16,0,0,2019-01-01 05:30:00,2019-01-01 05:30:00+00:00,2019-01-01 05:30:00-02:00
12,2019,1,1,6,0,47,21.8,241,76,83.01,2.1,0.16,0,0,2019-01-01 06:00:00,2019-01-01 06:00:00+00:00,2019-01-01 06:00:00-02:00
13,2019,1,1,6,30,77,22.8,437,178,76.64,2.0,0.16,0,0,2019-01-01 06:30:00,2019-01-01 06:30:00+00:00,2019-01-01 06:30:00-02:00
14,2019,1,1,7,0,96,23.9,578,293,70.14,1.9,0.16,0,0,2019-01-01 07:00:00,2019-01-01 07:00:00+00:00,2019-01-01 07:00:00-02:00
15,2019,1,1,7,30,111,25.1,672,411,63.55,1.8,0.16,0,0,2019-01-01 07:30:00,2019-01-01 07:30:00+00:00,2019-01-01 07:30:00-02:00
16,2019,1,1,8,0,109,26.4,778,534,56.89,1.6,0.16,0,0,2019-01-01 08:00:00,2019-01-01 08:00:00+00:00,2019-01-01 08:00:00-02:00
17,2019,1,1,8,30,118,27.5,824,645,50.17,1.5,0.16,0,0,2019-01-01 08:30:00,2019-01-01 08:30:00+00:00,2019-01-01 08:30:00-02:00
18,2019,1,1,9,0,149,28.6,812,739,43.41,1.4,0.16,0,0,2019-01-01 09:00:00,2019-01-01 09:00:00+00:00,2019-01-01 09:00:00-02:00
19,2019,1,1,9,30,156,29.3,841,831,36.61,1.5,0.16,0,0,2019-01-01 09:30:00,2019-01-01 09:30:00+00:00,2019-01-01 09:30:00-02:00
20,2019,1,1,10,0,162,30.1,861,910,29.78,1.5,0.16,0,0,2019-01-01 10:00:00,2019-01-01 10:00:00+00:00,2019-01-01 10:00:00-02:00
21,2019,1,1,10,30,167,30.6,877,974,22.93,1.6,0.16,0,0,2019-01-01 10:30:00,2019-01-01 10:30:00+00:00,2019-01-01 10:30:00-02:00
22,2019,1,1,11,0,173,31.0,883,1021,16.07,1.7000000000000002,0.16,0,0,2019-01-01 11:00:00,2019-01-01 11:00:00+00:00,2019-01-01 11:00:00-02:00
23,2019,1,1,11,30,545,31.3,197,740,9.2,1.7000000000000002,0.16,3,0,2019-01-01 11:30:00,2019-01-01 11:30:00+00:00,2019-01-01 11:30:00-02:00
24,2019,1,1,12,0,181,31.5,881,1062,2.37,1.7000000000000002,0.16,0,0,2019-01-01 12:00:00,2019-01-01 12:00:00+00:00,2019-01-01 12:00:00-02:00
25,2019,1,1,12,30,181,31.5,881,1059,4.62,1.6,0.16,0,0,2019-01-01 12:30:00,2019-01-01 12:30:00+00:00,2019-01-01 12:30:00-02:00
26,2019,1,1,13,0,185,31.4,867,1034,11.48,1.5,0.16,1,0,2019-01-01 13:00:00,2019-01-01 13:00:00+00:00,2019-01-01 13:00:00-02:00
27,2019,1,1,13,30,505,30.9,282,773,18.35,1.6,0.16,2,0,2019-01-01 13:30:00,2019-01-01 13:30:00+00:00,2019-01-01 13:30:00-02:00
28,2019,1,1,14,0,155,30.5,5,159,25.21,1.8,0.16,3,0,2019-01-01 14:00:00,2019-01-01 14:00:00+00:00,2019-01-01 14:00:00-02:00
29,2019,1,1,14,30,60,29.8,0,60,32.05,2.2,0.16,8,0,2019-01-01 14:30:00,2019-01-01 14:30:00+00:00,2019-01-01 14:30:00-02:00
30,2019,1,1,15,0,23,29.200000000000003,0,23,38.87,2.7,0.16,7,0,2019-01-01 15:00:00,2019-01-01 15:00:00+00:00,2019-01-01 15:00:00-02:00
31,2019,1,1,15,30,62,28.4,0,62,45.66,3.0,0.16,6,0,2019-01-01 15:30:00,2019-01-01 15:30:00+00:00,2019-01-01 15:30:00-02:00
32,2019,1,1,16,0,13,27.6,0,13,52.41,3.2,0.16,8,0,2019-01-01 16:00:00,2019-01-01 16:00:00+00:00,2019-01-01 16:00:00-02:00
33,2019,1,1,16,30,111,26.8,0,111,59.11,3.3000000000000003,0.16,8,0,2019-01-01 16:30:00,2019-01-01 16:30:00+00:00,2019-01-01 16:30:00-02:00
34,2019,1,1,17,0,120,25.9,0,120,65.75,3.4000000000000004,0.16,8,0,2019-01-01 17:00:00,2019-01-01 17:00:00+00:00,2019-01-01 17:00:00-02:00
35,2019,1,1,17,30,65,24.9,0,65,72.32000000000001,3.4000000000000004,0.16,8,0,2019-01-01 17:30:00,2019-01-01 17:30:00+00:00,2019-01-01 17:30:00-02:00
36,2019,1,1,18,0,38,24.0,0,38,78.79,3.3000000000000003,0.16,4,7,2019-01-01 18:00:00,2019-01-01 18:00:00+00:00,2019-01-01 18:00:00-02:00
37,2019,1,1,18,30,15,23.3,0,15,85.10000000000001,3.2,0.16,4,7,2019-01-01 18:30:00,2019-01-01 18:30:00+00:00,2019-01-01 18:30:00-02:00
38,2019,1,1,19,0,0,22.700000000000003,0,0,91.5,3.1,0.16,4,0,2019-01-01 19:00:00,2019-01-01 19:00:00+00:00,2019-01-01 19:00:00-02:00
39,2019,1,1,19,30,0,22.3,0,0,97.6,3.0,0.16,4,0,2019-01-01 19:30:00,2019-01-01 19:30:00+00:00,2019-01-01 19:30:00-02:00
40,2019,1,1,20,0,0,22.0,0,0,103.49,2.8000000000000003,0.16,4,0,2019-01-01 20:00:00,2019-01-01 20:00:00+00:00,2019-01-01 20:00:00-02:00
41,2019,1,1,20,30,0,22.0,0,0,109.13,2.8000000000000003,0.16,1,0,2019-01-01 20:30:00,2019-01-01 20:30:00+00:00,2019-01-01 20:30:00-02:00
42,2019,1,1,21,0,0,21.8,0,0,114.45,2.5,0.16,1,0,2019-01-01 21:00:00,2019-01-01 21:00:00+00:00,2019-01-01 21:00:00-02:00
