,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1298,12.761507113774618,1.5540245989363781,0.177807887395223,0.015815364835413626,0.0,20.0,,,1,2,300,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.024411831076885198,-0.008367899177855274,-0.007947027523740123,-0.013575585926160198,0.007664308621233347,1
2,9.700402021408081,1.1821011092224427,0.12223354975382487,0.013580286627432795,0.0,,,,1,2,300,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.024423518455057837,-0.008366293234808172,-0.007944605048302916,-0.013578138912722975,0.0076707734635924505,2
1,6.551326354344686,0.7345098890404728,0.08638326327006023,0.0031259496020712113,0.0,,,,1,2,200,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.024514035792823886,-0.008305351357634126,-0.007950867872221571,-0.013590085007559862,0.007725755203840828,3
1297,8.516777992248535,1.0673611945908508,0.11118086179097493,0.007790690639122517,0.0,20.0,,,1,2,200,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.024502290211722413,-0.008303533112550738,-0.007968403431069093,-0.013591408918447415,0.007716371164513633,4
3,16.14596215883891,1.8835449803982849,0.21071330706278482,0.020376176582430627,0.0,,,,1,2,500,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-0.024514057371847375,-0.008363801054890024,-0.007983424255145612,-0.013620427560627668,0.0077045246219507035,5
1299,20.905971844991047,2.3496339437506135,0.2787674268086751,0.019717213640798363,0.0,20.0,,,1,2,500,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-0.024507894783047438,-0.008369158257981776,-0.007990480484685822,-0.013622511175238343,0.0076986809013348196,6
1296,4.280705372492473,0.49851757982416406,0.05319714546203613,0.004030112093789375,0.0,20.0,,,1,2,100,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.024635282776693294,-0.008303162735151009,-0.007951467325259634,-0.013629970945701312,0.007783255051213631,7
0,3.470574378967285,0.34152881710703126,0.043995062510172524,0.010665966145787133,0.0,,,,1,2,100,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.02466866566920247,-0.008303683208208979,-0.00793234351756809,-0.013634897464993181,0.007803525010302556,8
1302,11.632737159729004,1.444864466910829,0.15514707565307617,0.015835284350374876,0.0,20.0,,,1,4,300,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",-0.0244894870770499,-0.008470397334371842,-0.00796673655927034,-0.013642206990230693,0.007672940874941511,9
6,9.35749371846517,1.1974761997880818,0.11662952105204265,0.00017066955288115053,0.0,,,,1,4,300,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",-0.024490596449930624,-0.00846965861686527,-0.007968759530036371,-0.013643004865610755,0.007673130928069799,10
5,6.2808882395426435,0.7586749817973699,0.07181843121846516,0.009613793818769246,0.0,,,,1,4,200,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",-0.02457499412699007,-0.008403955222832202,-0.008012367013895723,-0.013663772121239334,0.007717055119470937,11
1301,7.827147801717122,0.943427524780964,0.1060484250386556,0.014815054869000146,0.0,20.0,,,1,4,200,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",-0.024574884679439916,-0.008407357677494613,-0.008014102978092984,-0.013665448445009172,0.0077158067856180025,12
7,15.618285973866781,1.9577183047048912,0.19233385721842447,0.018430789583303905,0.0,,,,1,4,500,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",-0.02457268125496808,-0.008474007194997153,-0.00799563996601076,-0.013680776138658665,0.007704215581894433,13
1303,19.62864923477173,2.477427289360441,0.24953571955362955,0.02537420120649393,0.0,20.0,,,1,4,500,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",-0.02457278416664417,-0.008474823297774796,-0.007996883595804352,-0.013681497020074441,0.0077037743291391994,14
4,3.100713570912679,0.3918409350794493,0.045115391413370766,0.004935738654155279,0.0,,,,1,4,100,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",-0.024752278717468074,-0.008477321405860216,-0.008022125502214058,-0.013750575208514117,0.007781598417714766,15
1300,3.883195400238037,0.4746654964866056,0.049393415451049805,0.003551821068600572,0.0,20.0,,,1,4,100,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",-0.024755084621734216,-0.008484269253537484,-0.008036055989361782,-0.013758469954877827,0.007777933503660062,16
9,6.110054969787598,0.7156546609639591,0.07022611300150554,0.0018518111508210777,0.0,,,,1,6,200,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",-0.024744464604597075,-0.008529623376728437,-0.008062602463973606,-0.013778896815099707,0.007756171084703424,17
1305,7.645038843154907,0.9901378976976374,0.09465448061625163,0.007374626381482023,0.0,20.0,,,1,6,200,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",-0.024744818945373136,-0.008530154505213952,-0.008064538730771786,-0.013779837393786291,0.007755742596396223,18
1310,11.76839836438497,1.4058635930633658,0.15027880668640137,0.013268333933673165,0.0,20.0,,,2,2,300,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-0.024746834047102373,-0.008733433798297491,-0.007865820470534825,-0.013782029438644894,0.007761374160884381,19
1314,11.911303043365479,1.4490837888629937,0.15541545550028482,0.02032951559250241,0.0,20.0,,,2,4,300,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",-0.024746834047102373,-0.008733433798297491,-0.007865820470534825,-0.013782029438644894,0.007761374160884381,19
14,9.128517071406046,1.0942284100376862,0.1151582400004069,0.014957436230756066,0.0,,,,2,2,300,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-0.024747708633627193,-0.008734350576147312,-0.007865845881652718,-0.013782635030475741,0.007761580785853114,21
18,9.300889809926352,0.9341633787331769,0.11654130617777507,0.012031144617270466,0.0,,,,2,4,300,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",-0.024747708633627193,-0.008734350576147312,-0.007865845881652718,-0.013782635030475741,0.007761580785853114,21
1309,7.84476884206136,0.9668420535600297,0.10860236485799153,0.011958991977630049,0.0,20.0,,,2,2,200,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.024801082153105742,-0.008717507232723656,-0.007855897855107988,-0.013791495746979127,0.007792895794905116,23
1313,7.9729117552439375,1.0407914298504204,0.10514513651529948,0.010719293918637485,0.0,20.0,,,2,4,200,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",-0.024801082153105742,-0.008717507232723656,-0.007855897855107988,-0.013791495746979127,0.007792895794905116,23
13,6.03686785697937,0.7463096627754373,0.07996018727620442,0.014492006103866415,0.0,,,,2,2,200,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.024802394032892968,-0.008718944622587864,-0.007856229403263405,-0.013792522686248079,0.007793117463063915,25
17,7.032975355784099,1.0103442678668997,0.1544481118520101,0.1004055644005859,0.0,,,,2,4,200,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",-0.024802394032892968,-0.008718944622587864,-0.007856229403263405,-0.013792522686248079,0.007793117463063915,25
10,9.297071695327759,1.1003918684912457,0.11466423670450847,0.005177407749096638,0.0,,,,1,6,300,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 300}",-0.024700401744493092,-0.008637963804160875,-0.008084858266254201,-0.013807741271636054,0.007705583281695696,27
1306,11.463358720143637,1.3926988579032582,0.14879743258158365,0.008025006955242806,0.0,20.0,,,1,6,300,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 300}",-0.024701031143230922,-0.008639097956303418,-0.008083162554092672,-0.013807763884542338,0.007706046098995703,28
1315,19.151529630025227,2.2044803801298163,0.24475757280985513,0.020286977444038085,0.0,20.0,,,2,4,500,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",-0.024848993729418654,-0.008723201177823344,-0.007867704773582458,-0.013813299893608152,0.007811225783137442,29
1311,19.858379522959392,2.4330826053571637,0.26444776852925617,0.022093573466161722,0.0,20.0,,,2,2,500,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-0.024848993729418654,-0.008723201177823344,-0.007867704773582458,-0.013813299893608152,0.007811225783137442,29
19,15.271507263183594,1.3919986479340614,0.19741328557332358,0.04114154131316871,0.0,,,,2,4,500,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",-0.024849719026627148,-0.008723628540251068,-0.007867481192950646,-0.01381360958660962,0.007811531251899565,31
15,15.328260978062948,2.0839213093804134,0.19958790143330893,0.013163438726174955,0.0,,,,2,2,500,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-0.024849719026627148,-0.008723628540251068,-0.007867481192950646,-0.01381360958660962,0.007811531251899565,31
1312,3.9803383350372314,0.5141403353748335,0.05857237180074056,0.017500663317839598,0.0,20.0,,,2,4,100,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",-0.024908353905173986,-0.00870265926460209,-0.007839536431230717,-0.013816849867002266,0.007850789413723797,33
1308,3.914891004562378,0.5243984800353184,0.051807800928751625,0.01036662988226256,0.0,20.0,,,2,2,100,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.024908353905173986,-0.00870265926460209,-0.007839536431230717,-0.013816849867002266,0.007850789413723797,33
12,3.033408006032308,0.33690546246008385,0.04445187250773112,0.007817537086772065,0.0,,,,2,2,100,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.024911327581428114,-0.00870265926460209,-0.007840132443301036,-0.013818039763110412,0.007852038550355054,35
16,3.595192273457845,0.6134204007386109,0.08689347902933757,0.035769212214093946,0.0,,,,2,4,100,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",-0.024911327581428114,-0.00870265926460209,-0.007840132443301036,-0.013818039763110412,0.007852038550355054,35
8,3.289480368296305,0.4793065649798215,0.04133335749308268,0.006693657180545631,0.0,,,,1,6,100,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",-0.024941135848206716,-0.00857346475413388,-0.007967219890049861,-0.013827273497463488,0.007862583776861902,37
1304,3.8036375045776367,0.4576695928677108,0.05289562543233236,0.0009360645862314891,0.0,20.0,,,1,6,100,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",-0.024941135848206716,-0.008574983418403922,-0.007970054968212103,-0.013828724744940915,0.007861541197647006,38
11,15.334211428960165,1.9908863555823184,0.1821908156077067,0.014884940130835482,0.0,,,,1,6,500,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",-0.02478257718720248,-0.008617967487454801,-0.008111852245429003,-0.01383746564002876,0.007742120219707661,39
1307,19.79181440671285,2.51807260508621,0.2479585806528727,0.038863574428559707,0.0,20.0,,,1,6,500,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",-0.024782860907806733,-0.008619562634845167,-0.008110569888318467,-0.01383766447699012,0.007742211660151325,40
22,9.730777899424234,1.6853171437573473,0.11392672856648763,0.012886894549426509,0.0,,,,2,6,300,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 300}",-0.02489581592517013,-0.008826924158322771,-0.007934960027482464,-0.01388590003699179,0.007793697706106211,41
1318,11.391677935918173,1.5568004163688434,0.144148588180542,0.015888723644161017,0.0,20.0,,,2,6,300,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 300}",-0.024895594437703672,-0.008826855149490387,-0.007935938798314385,-0.013886129461836148,0.007793359236227489,42
