,Real,Predito,Datetime,Theta,GHI,DNI,DHI,datetime_utc,datetime_local,irradiancias IA,irradiancias SPA
0,15.0,15.0,2019-10-20 00:00:00,0.0,0,0,0,2019-10-20 00:00:00+00:00,2019-10-19 21:00:00-03:00,0.0,0.0
1,15.0,15.0,2019-10-20 00:30:00,0.0,0,0,0,2019-10-20 00:30:00+00:00,2019-10-19 21:30:00-03:00,0.0,0.0
2,15.0,15.0,2019-10-20 01:00:00,0.0,0,0,0,2019-10-20 01:00:00+00:00,2019-10-19 22:00:00-03:00,0.0,0.0
3,15.0,15.0,2019-10-20 01:30:00,0.0,0,0,0,2019-10-20 01:30:00+00:00,2019-10-19 22:30:00-03:00,0.0,0.0
4,15.0,15.0,2019-10-20 02:00:00,0.0,0,0,0,2019-10-20 02:00:00+00:00,2019-10-19 23:00:00-03:00,0.0,0.0
5,15.0,15.0,2019-10-20 02:30:00,0.0,0,0,0,2019-10-20 02:30:00+00:00,2019-10-19 23:30:00-03:00,0.0,0.0
6,15.0,15.0,2019-10-20 03:00:00,0.0,0,0,0,2019-10-20 03:00:00+00:00,2019-10-20 00:00:00-03:00,0.0,0.0
7,15.0,15.0,2019-10-20 03:30:00,0.0,0,0,0,2019-10-20 03:30:00+00:00,2019-10-20 00:30:00-03:00,0.0,0.0
8,15.0,15.0,2019-10-20 04:00:00,0.0,0,0,0,2019-10-20 04:00:00+00:00,2019-10-20 01:00:00-03:00,0.0,0.0
9,15.0,15.0,2019-10-20 04:30:00,0.0,0,0,0,2019-10-20 04:30:00+00:00,2019-10-20 01:30:00-03:00,0.0,0.0
10,15.0,15.0,2019-10-20 05:00:00,0.0,0,0,0,2019-10-20 05:00:00+00:00,2019-10-20 02:00:00-03:00,0.0,0.0
11,15.0,15.0,2019-10-20 05:30:00,0.0,0,0,0,2019-10-20 05:30:00+00:00,2019-10-20 02:30:00-03:00,0.0,0.0
12,15.0,15.0,2019-10-20 06:00:00,0.0,29,0,29,2019-10-20 06:00:00+00:00,2019-10-20 03:00:00-03:00,28.545450522696168,29.0
13,15.0,15.0,2019-10-20 06:30:00,0.0,23,0,23,2019-10-20 06:30:00+00:00,2019-10-20 03:30:00-03:00,22.63949524213834,23.0
14,15.0,14.850000000000003,2019-10-20 07:00:00,0.0,266,418,124,2019-10-20 07:00:00+00:00,2019-10-20 04:00:00-03:00,122.28458123958836,124.0
15,15.0,15.0,2019-10-20 07:30:00,0.0,383,521,149,2019-10-20 07:30:00+00:00,2019-10-20 04:30:00-03:00,149.36629052103027,149.0
16,15.0,14.929999999999994,2019-10-20 08:00:00,0.0,506,640,152,2019-10-20 08:00:00+00:00,2019-10-20 05:00:00-03:00,228.3272308401099,152.0
17,0.0,-0.1214251523893006,2019-10-20 08:30:00,0.0,168,3,166,2019-10-20 08:30:00+00:00,2019-10-20 05:30:00-03:00,165.99982870188825,166.0
18,-11.87262134194839,-10.482715693728943,2019-10-20 09:00:00,-11.872621341948388,502,190,362,2019-10-20 09:00:00+00:00,2019-10-20 06:00:00-03:00,359.31421904397837,358.557504028396
19,-22.000000000000004,-13.831529603802467,2019-10-20 09:30:00,-26.995573584211904,453,79,389,2019-10-20 09:30:00+00:00,2019-10-20 06:30:00-03:00,383.8854860360474,369.78191649185726
20,-9.999999999999998,-10.92573569037385,2019-10-20 10:00:00,-55.57238919496712,383,31,356,2019-10-20 10:00:00+00:00,2019-10-20 07:00:00-03:00,357.8003468250776,285.2935065485654
21,-7.999999999999998,-8.470000000000013,2019-10-20 10:30:00,-63.36604169379958,383,26,359,2019-10-20 10:30:00+00:00,2019-10-20 07:30:00-03:00,365.300099408948,268.42008150192555
22,-5.999999999999999,-6.029999999999949,2019-10-20 11:00:00,-56.45965047549196,277,15,262,2019-10-20 11:00:00+00:00,2019-10-20 08:00:00-03:00,268.2521759731357,208.33868977513194
23,-5.000000000000003,-5.329999999999953,2019-10-20 11:30:00,-49.46576868429148,301,16,285,2019-10-20 11:30:00+00:00,2019-10-20 08:30:00-03:00,293.6205997406333,239.32624574830524
24,-5.000000000000003,-6.129999999999945,2019-10-20 12:00:00,-42.36927704918904,415,27,388,2019-10-20 12:00:00+00:00,2019-10-20 09:00:00-03:00,404.73336603076575,344.115683862993
