,datetime,angulo_otimo,irradiancia
0,2019-01-01 00:00:00,15,0.0
1,2019-01-01 00:30:00,15,0.0
2,2019-01-01 01:00:00,15,0.0
3,2019-01-01 01:30:00,15,0.0
4,2019-01-01 02:00:00,15,0.0
5,2019-01-01 02:30:00,15,0.0
6,2019-01-01 03:00:00,15,0.0
7,2019-01-01 03:30:00,15,0.0
8,2019-01-01 04:00:00,15,0.0
9,2019-01-01 04:30:00,15,0.0
10,2019-01-01 05:00:00,15,0.0
11,2019-01-01 05:30:00,15,0.0
12,2019-01-01 06:00:00,15,0.0
13,2019-01-01 06:30:00,15,0.0
14,2019-01-01 07:00:00,15,0.0
15,2019-01-01 07:30:00,15,0.0
16,2019-01-01 08:00:00,15,0.0
17,2019-01-01 08:30:00,55,0.0
18,2019-01-01 09:00:00,-55,236.35705570276684
19,2019-01-01 09:30:00,-55,449.49283153267254
20,2019-01-01 10:00:00,-55,618.3771588518243
21,2019-01-01 10:30:00,-55,741.9364351158971
22,2019-01-01 11:00:00,-54,858.838941317435
23,2019-01-01 11:30:00,-48,921.6970052914098
24,2019-01-01 12:00:00,-41,944.5597955132432
25,2019-01-01 12:30:00,-35,986.1994132620569
26,2019-01-01 13:00:00,-28,1016.421294603819
27,2019-01-01 13:30:00,-22,1040.379410287556
28,2019-01-01 14:00:00,-15,1054.265787201671
29,2019-01-01 14:30:00,-4,740.5947729926603
30,2019-01-01 15:00:00,-2,1061.9185943459838
31,2019-01-01 15:30:00,4,1061.804031270052
32,2019-01-01 16:00:00,11,1051.029036171951
33,2019-01-01 16:30:00,10,780.6291838737295
34,2019-01-01 17:00:00,2,159.55155428811935
35,2019-01-01 17:30:00,0,60.0
36,2019-01-01 18:00:00,0,23.0
37,2019-01-01 18:30:00,0,62.0
38,2019-01-01 19:00:00,0,13.0
39,2019-01-01 19:30:00,0,111.0
40,2019-01-01 20:00:00,0,120.0
41,2019-01-01 20:30:00,0,65.0
42,2019-01-01 21:00:00,0,38.0
43,2019-01-01 21:30:00,0,15.0
44,2019-01-01 22:00:00,15,0.0
45,2019-01-01 22:30:00,15,0.0
46,2019-01-01 23:00:00,15,0.0
47,2019-01-01 23:30:00,15,0.0
48,2019-01-02 00:00:00,15,0.0
49,2019-01-02 00:30:00,15,0.0
50,2019-01-02 01:00:00,15,0.0
51,2019-01-02 01:30:00,15,0.0
52,2019-01-02 02:00:00,15,0.0
53,2019-01-02 02:30:00,15,0.0
54,2019-01-02 03:00:00,15,0.0
55,2019-01-02 03:30:00,15,0.0
56,2019-01-02 04:00:00,15,0.0
57,2019-01-02 04:30:00,15,0.0
58,2019-01-02 05:00:00,15,0.0
59,2019-01-02 05:30:00,15,0.0
60,2019-01-02 06:00:00,15,0.0
61,2019-01-02 06:30:00,15,0.0
62,2019-01-02 07:00:00,15,0.0
63,2019-01-02 07:30:00,15,0.0
64,2019-01-02 08:00:00,15,0.0
65,2019-01-02 08:30:00,55,0.0
66,2019-01-02 09:00:00,-55,206.51222965586626
67,2019-01-02 09:30:00,-55,411.8752923971779
68,2019-01-02 10:00:00,-55,579.3477793861357
69,2019-01-02 10:30:00,-55,704.0535394688967
70,2019-01-02 11:00:00,-53,796.842196196897
71,2019-01-02 11:30:00,-45,795.5962193938315
72,2019-01-02 12:00:00,-35,748.9600434277862
73,2019-01-02 12:30:00,-30,848.8601084694767
74,2019-01-02 13:00:00,-17,688.7734931960255
75,2019-01-02 13:30:00,-9,637.8008840439052
76,2019-01-02 14:00:00,-3,507.3930358571336
77,2019-01-02 14:30:00,-5,831.2466384589598
78,2019-01-02 15:00:00,-2,934.8324077931381
79,2019-01-02 15:30:00,4,1025.742736899836
80,2019-01-02 16:00:00,5,755.7309275699067
81,2019-01-02 16:30:00,17,996.4318855820287
82,2019-01-02 17:00:00,14,719.9435849342027
83,2019-01-02 17:30:00,29,939.6762845636441
84,2019-01-02 18:00:00,35,881.311421489663
85,2019-01-02 18:30:00,40,822.1254957406716
86,2019-01-02 19:00:00,46,752.7699835843873
87,2019-01-02 19:30:00,52,662.4012121676598
88,2019-01-02 20:00:00,54,432.73379286150544
89,2019-01-02 20:30:00,48,203.7969991243342
90,2019-01-02 21:00:00,0,45.0
91,2019-01-02 21:30:00,0,25.0
92,2019-01-02 22:00:00,15,0.0
93,2019-01-02 22:30:00,15,0.0
94,2019-01-02 23:00:00,15,0.0
95,2019-01-02 23:30:00,15,0.0
96,2019-01-03 00:00:00,15,0.0
97,2019-01-03 00:30:00,15,0.0
98,2019-01-03 01:00:00,15,0.0
99,2019-01-03 01:30:00,15,0.0
100,2019-01-03 02:00:00,15,0.0
101,2019-01-03 02:30:00,15,0.0
102,2019-01-03 03:00:00,15,0.0
103,2019-01-03 03:30:00,15,0.0
104,2019-01-03 04:00:00,15,0.0
105,2019-01-03 04:30:00,15,0.0
106,2019-01-03 05:00:00,15,0.0
107,2019-01-03 05:30:00,15,0.0
108,2019-01-03 06:00:00,15,0.0
109,2019-01-03 06:30:00,15,0.0
110,2019-01-03 07:00:00,15,0.0
111,2019-01-03 07:30:00,15,0.0
112,2019-01-03 08:00:00,15,0.0
113,2019-01-03 08:30:00,55,0.0
114,2019-01-03 09:00:00,-55,263.2152557389027
115,2019-01-03 09:30:00,-55,475.69289554869965
116,2019-01-03 10:00:00,-55,633.9815249492186
117,2019-01-03 10:30:00,-55,752.4381954976661
118,2019-01-03 11:00:00,-55,834.8345940238115
119,2019-01-03 11:30:00,-48,901.2575217439985
120,2019-01-03 12:00:00,-42,940.8727803541776
121,2019-01-03 12:30:00,-35,980.9983783895859
122,2019-01-03 13:00:00,-14,629.7175133105591
123,2019-01-03 13:30:00,-22,1030.0171089887704
124,2019-01-03 14:00:00,-16,1046.5628219094424
125,2019-01-03 14:30:00,-1,232.84386208597437
126,2019-01-03 15:00:00,-2,1061.869328496618
127,2019-01-03 15:30:00,2,810.602525259615
128,2019-01-03 16:00:00,1,410.571201459413
129,2019-01-03 16:30:00,18,1046.4275659056643
130,2019-01-03 17:00:00,24,1033.977584948694
131,2019-01-03 17:30:00,31,1009.3823543548134
132,2019-01-03 18:00:00,3,217.98570494113824
133,2019-01-03 18:30:00,2,174.85200619679256
134,2019-01-03 19:00:00,0,13.0
135,2019-01-03 19:30:00,51,609.0765038678617
136,2019-01-03 20:00:00,0,52.0
137,2019-01-03 20:30:00,0,8.0
138,2019-01-03 21:00:00,0,37.0
139,2019-01-03 21:30:00,0,16.0
140,2019-01-03 22:00:00,15,0.0
141,2019-01-03 22:30:00,15,0.0
142,2019-01-03 23:00:00,15,0.0
143,2019-01-03 23:30:00,15,0.0
144,2019-01-04 00:00:00,15,0.0
145,2019-01-04 00:30:00,15,0.0
146,2019-01-04 01:00:00,15,0.0
147,2019-01-04 01:30:00,15,0.0
148,2019-01-04 02:00:00,15,0.0
149,2019-01-04 02:30:00,15,0.0
150,2019-01-04 03:00:00,15,0.0
151,2019-01-04 03:30:00,15,0.0
152,2019-01-04 04:00:00,15,0.0
153,2019-01-04 04:30:00,15,0.0
154,2019-01-04 05:00:00,15,0.0
155,2019-01-04 05:30:00,15,0.0
156,2019-01-04 06:00:00,15,0.0
157,2019-01-04 06:30:00,15,0.0
158,2019-01-04 07:00:00,15,0.0
159,2019-01-04 07:30:00,15,0.0
160,2019-01-04 08:00:00,15,0.0
161,2019-01-04 08:30:00,55,0.0
162,2019-01-04 09:00:00,0,25.0
163,2019-01-04 09:30:00,0,41.0
164,2019-01-04 10:00:00,0,108.0
165,2019-01-04 10:30:00,-3,152.32418928033144
166,2019-01-04 11:00:00,-24,306.7061643397171
167,2019-01-04 11:30:00,-4,214.63332573098683
168,2019-01-04 12:00:00,-18,460.7781308234779
169,2019-01-04 12:30:00,-25,704.2166706132152
170,2019-01-04 13:00:00,-14,636.3447101239259
171,2019-01-04 13:30:00,-17,873.3683284869958
172,2019-01-04 14:00:00,-8,723.5388030984345
173,2019-01-04 14:30:00,-6,927.003943670846
174,2019-01-04 15:00:00,-2,940.7977455081177
175,2019-01-04 15:30:00,2,836.5881694795387
176,2019-01-04 16:00:00,0,109.0
177,2019-01-04 16:30:00,0,47.0
178,2019-01-04 17:00:00,0,42.0
179,2019-01-04 17:30:00,0,41.0
180,2019-01-04 18:00:00,0,63.0
181,2019-01-04 18:30:00,5,264.4897689345291
182,2019-01-04 19:00:00,34,490.34174744682275
183,2019-01-04 19:30:00,40,422.21588357555174
184,2019-01-04 20:00:00,0,82.0
185,2019-01-04 20:30:00,0,5.0
186,2019-01-04 21:00:00,0,18.0
187,2019-01-04 21:30:00,0,13.0
188,2019-01-04 22:00:00,15,0.0
189,2019-01-04 22:30:00,15,0.0
190,2019-01-04 23:00:00,15,0.0
191,2019-01-04 23:30:00,15,0.0
192,2019-01-05 00:00:00,15,0.0
193,2019-01-05 00:30:00,15,0.0
194,2019-01-05 01:00:00,15,0.0
195,2019-01-05 01:30:00,15,0.0
196,2019-01-05 02:00:00,15,0.0
197,2019-01-05 02:30:00,15,0.0
198,2019-01-05 03:00:00,15,0.0
199,2019-01-05 03:30:00,15,0.0
200,2019-01-05 04:00:00,15,0.0
201,2019-01-05 04:30:00,15,0.0
202,2019-01-05 05:00:00,15,0.0
203,2019-01-05 05:30:00,15,0.0
204,2019-01-05 06:00:00,15,0.0
205,2019-01-05 06:30:00,15,0.0
206,2019-01-05 07:00:00,15,0.0
207,2019-01-05 07:30:00,15,0.0
208,2019-01-05 08:00:00,15,0.0
209,2019-01-05 08:30:00,55,0.0
210,2019-01-05 09:00:00,0,3.0
211,2019-01-05 09:30:00,0,4.0
212,2019-01-05 10:00:00,0,5.0
213,2019-01-05 10:30:00,0,11.0
