,datetime,angulo_otimo,irradiancia
0,2019-01-01 00:00:00,15,0.0
1,2019-01-01 00:30:00,15,0.0
2,2019-01-01 01:00:00,15,0.0
3,2019-01-01 01:30:00,15,0.0
4,2019-01-01 02:00:00,15,0.0
5,2019-01-01 02:30:00,15,0.0
6,2019-01-01 03:00:00,15,0.0
7,2019-01-01 03:30:00,15,0.0
8,2019-01-01 04:00:00,15,0.0
9,2019-01-01 04:30:00,15,0.0
10,2019-01-01 05:00:00,15,0.0
11,2019-01-01 05:30:00,15,0.0
12,2019-01-01 06:00:00,15,0.0
13,2019-01-01 06:30:00,15,0.0
14,2019-01-01 07:00:00,15,0.0
15,2019-01-01 07:30:00,15,0.0
16,2019-01-01 08:00:00,15,0.0
17,2019-01-01 08:30:00,-60,752.4102653576789
18,2019-01-01 09:00:00,-60,821.7772298513819
19,2019-01-01 09:30:00,-60,898.1454377056937
20,2019-01-01 10:00:00,-60,955.6788098176708
21,2019-01-01 10:30:00,-60,996.7221501199487
22,2019-01-01 11:00:00,-54,1020.7210364498238
23,2019-01-01 11:30:00,-22,699.8927782611635
24,2019-01-01 12:00:00,-41,1044.344001933487
25,2019-01-01 12:30:00,-35,1050.459451226911
26,2019-01-01 13:00:00,-28,1044.6463072754877
27,2019-01-01 13:30:00,-13,777.0341552091197
28,2019-01-01 14:00:00,-1,159.81700061639714
29,2019-01-01 14:30:00,0,60.0
30,2019-01-01 15:00:00,0,23.0
31,2019-01-01 15:30:00,0,62.0
32,2019-01-01 16:00:00,0,13.0
33,2019-01-01 16:30:00,0,111.0
34,2019-01-01 17:00:00,0,120.0
35,2019-01-01 17:30:00,0,65.0
36,2019-01-01 18:00:00,0,38.0
37,2019-01-01 18:30:00,0,15.0
38,2019-01-01 19:00:00,60,0.0
39,2019-01-01 19:30:00,60,0.0
40,2019-01-01 20:00:00,60,0.0
41,2019-01-01 20:30:00,60,0.0
42,2019-01-01 21:00:00,60,0.0
43,2019-01-01 21:30:00,60,0.0
44,2019-01-01 22:00:00,15,0.0
45,2019-01-01 22:30:00,15,0.0
46,2019-01-01 23:00:00,15,0.0
47,2019-01-01 23:30:00,15,0.0
48,2019-01-02 00:00:00,15,0.0
49,2019-01-02 00:30:00,15,0.0
50,2019-01-02 01:00:00,15,0.0
51,2019-01-02 01:30:00,15,0.0
52,2019-01-02 02:00:00,15,0.0
53,2019-01-02 02:30:00,15,0.0
54,2019-01-02 03:00:00,15,0.0
55,2019-01-02 03:30:00,15,0.0
56,2019-01-02 04:00:00,15,0.0
57,2019-01-02 04:30:00,15,0.0
58,2019-01-02 05:00:00,15,0.0
59,2019-01-02 05:30:00,15,0.0
60,2019-01-02 06:00:00,15,0.0
61,2019-01-02 06:30:00,15,0.0
62,2019-01-02 07:00:00,15,0.0
63,2019-01-02 07:30:00,15,0.0
64,2019-01-02 08:00:00,15,0.0
65,2019-01-02 08:30:00,-60,656.1680650480338
66,2019-01-02 09:00:00,-60,648.3679453580389
67,2019-01-02 09:30:00,-60,756.8072956034439
68,2019-01-02 10:00:00,-38,616.4663085620465
69,2019-01-02 10:30:00,-24,589.726181667565
70,2019-01-02 11:00:00,-10,489.7115297854118
71,2019-01-02 11:30:00,-29,781.0513941921268
72,2019-01-02 12:00:00,-29,892.5161088783836
73,2019-01-02 12:30:00,-33,1009.7552942483486
74,2019-01-02 13:00:00,-14,742.3803809381155
75,2019-01-02 13:30:00,-21,994.2231620917054
76,2019-01-02 14:00:00,-9,726.417809033389
77,2019-01-02 14:30:00,-8,950.0698947958157
78,2019-01-02 15:00:00,-2,899.8911957295797
79,2019-01-02 15:30:00,4,847.7495551347934
80,2019-01-02 16:00:00,10,784.6894676220593
81,2019-01-02 16:30:00,16,699.8681838682835
82,2019-01-02 17:00:00,20,471.3518980592995
83,2019-01-02 17:30:00,21,230.12038285130956
84,2019-01-02 18:00:00,0,45.0
85,2019-01-02 18:30:00,0,25.0
86,2019-01-02 19:00:00,60,0.0
87,2019-01-02 19:30:00,60,0.0
88,2019-01-02 20:00:00,60,0.0
89,2019-01-02 20:30:00,60,0.0
90,2019-01-02 21:00:00,60,0.0
91,2019-01-02 21:30:00,60,0.0
92,2019-01-02 22:00:00,15,0.0
93,2019-01-02 22:30:00,15,0.0
94,2019-01-02 23:00:00,15,0.0
95,2019-01-02 23:30:00,15,0.0
96,2019-01-03 00:00:00,15,0.0
97,2019-01-03 00:30:00,15,0.0
98,2019-01-03 01:00:00,15,0.0
99,2019-01-03 01:30:00,15,0.0
100,2019-01-03 02:00:00,15,0.0
101,2019-01-03 02:30:00,15,0.0
102,2019-01-03 03:00:00,15,0.0
103,2019-01-03 03:30:00,15,0.0
104,2019-01-03 04:00:00,15,0.0
105,2019-01-03 04:30:00,15,0.0
106,2019-01-03 05:00:00,15,0.0
107,2019-01-03 05:30:00,15,0.0
108,2019-01-03 06:00:00,15,0.0
109,2019-01-03 06:30:00,15,0.0
110,2019-01-03 07:00:00,15,0.0
111,2019-01-03 07:30:00,15,0.0
112,2019-01-03 08:00:00,15,0.0
113,2019-01-03 08:30:00,-60,734.0601021702412
114,2019-01-03 09:00:00,-60,817.3493739565824
115,2019-01-03 09:30:00,-60,894.0952706009148
116,2019-01-03 10:00:00,-32,568.2579468269233
117,2019-01-03 10:30:00,-60,990.085515714208
118,2019-01-03 11:00:00,-55,1016.3898663999662
119,2019-01-03 11:30:00,-5,228.72261838476442
120,2019-01-03 12:00:00,-42,1047.8390656197153
121,2019-01-03 12:30:00,-19,784.6039654980482
122,2019-01-03 13:00:00,-4,408.0298044426885
123,2019-01-03 13:30:00,-22,1045.309608248368
124,2019-01-03 14:00:00,-16,1035.8376629266586
125,2019-01-03 14:30:00,-9,1014.5803006457122
126,2019-01-03 15:00:00,0,219.98949018000164
127,2019-01-03 15:30:00,0,175.988017299019
128,2019-01-03 16:00:00,0,13.0
129,2019-01-03 16:30:00,16,647.604750241029
130,2019-01-03 17:00:00,0,52.0
131,2019-01-03 17:30:00,0,8.0
132,2019-01-03 18:00:00,0,37.0
133,2019-01-03 18:30:00,0,16.0
134,2019-01-03 19:00:00,60,0.0
135,2019-01-03 19:30:00,60,0.0
136,2019-01-03 20:00:00,60,0.0
137,2019-01-03 20:30:00,60,0.0
138,2019-01-03 21:00:00,60,0.0
139,2019-01-03 21:30:00,60,0.0
140,2019-01-03 22:00:00,15,0.0
141,2019-01-03 22:30:00,15,0.0
142,2019-01-03 23:00:00,15,0.0
143,2019-01-03 23:30:00,15,0.0
144,2019-01-04 00:00:00,15,0.0
145,2019-01-04 00:30:00,15,0.0
146,2019-01-04 01:00:00,15,0.0
147,2019-01-04 01:30:00,15,0.0
148,2019-01-04 02:00:00,15,0.0
149,2019-01-04 02:30:00,15,0.0
150,2019-01-04 03:00:00,15,0.0
151,2019-01-04 03:30:00,15,0.0
152,2019-01-04 04:00:00,15,0.0
153,2019-01-04 04:30:00,15,0.0
154,2019-01-04 05:00:00,15,0.0
155,2019-01-04 05:30:00,15,0.0
156,2019-01-04 06:00:00,15,0.0
157,2019-01-04 06:30:00,15,0.0
158,2019-01-04 07:00:00,15,0.0
159,2019-01-04 07:30:00,15,0.0
160,2019-01-04 08:00:00,15,0.0
161,2019-01-04 08:30:00,-5,208.45599353599866
162,2019-01-04 09:00:00,-32,406.33358353198435
163,2019-01-04 09:30:00,-52,616.5337269106979
164,2019-01-04 10:00:00,-32,573.3738072172921
165,2019-01-04 10:30:00,-46,797.2637193812709
166,2019-01-04 11:00:00,-26,673.0655490943786
167,2019-01-04 11:30:00,-34,871.8521365128161
168,2019-01-04 12:00:00,-29,897.8552258195052
169,2019-01-04 12:30:00,-21,809.2708015906715
170,2019-01-04 13:00:00,0,109.0
171,2019-01-04 13:30:00,0,47.0
172,2019-01-04 14:00:00,0,42.0
173,2019-01-04 14:30:00,0,41.0
174,2019-01-04 15:00:00,0,63.0
175,2019-01-04 15:30:00,1,268.95295751048604
176,2019-01-04 16:00:00,7,524.410893530016
177,2019-01-04 16:30:00,12,458.4601270261731
178,2019-01-04 17:00:00,0,82.0
179,2019-01-04 17:30:00,0,5.0
180,2019-01-04 18:00:00,0,18.0
181,2019-01-04 18:30:00,0,13.0
182,2019-01-04 19:00:00,60,0.0
183,2019-01-04 19:30:00,60,0.0
184,2019-01-04 20:00:00,60,0.0
185,2019-01-04 20:30:00,60,0.0
186,2019-01-04 21:00:00,60,0.0
187,2019-01-04 21:30:00,60,0.0
188,2019-01-04 22:00:00,15,0.0
189,2019-01-04 22:30:00,15,0.0
190,2019-01-04 23:00:00,15,0.0
191,2019-01-04 23:30:00,15,0.0
192,2019-01-05 00:00:00,15,0.0
193,2019-01-05 00:30:00,15,0.0
194,2019-01-05 01:00:00,15,0.0
195,2019-01-05 01:30:00,15,0.0
196,2019-01-05 02:00:00,15,0.0
197,2019-01-05 02:30:00,15,0.0
198,2019-01-05 03:00:00,15,0.0
199,2019-01-05 03:30:00,15,0.0
200,2019-01-05 04:00:00,15,0.0
201,2019-01-05 04:30:00,15,0.0
202,2019-01-05 05:00:00,15,0.0
203,2019-01-05 05:30:00,15,0.0
204,2019-01-05 06:00:00,15,0.0
205,2019-01-05 06:30:00,15,0.0
206,2019-01-05 07:00:00,15,0.0
207,2019-01-05 07:30:00,15,0.0
208,2019-01-05 08:00:00,15,0.0
209,2019-01-05 08:30:00,0,132.0
210,2019-01-05 09:00:00,-2,158.38281742548662
211,2019-01-05 09:30:00,-3,158.97549094377243
212,2019-01-05 10:00:00,-4,166.1718845263461
213,2019-01-05 10:30:00,-6,310.6991795344662
214,2019-01-05 11:00:00,-6,378.37815397122944
215,2019-01-05 11:30:00,-7,457.7725333084776
