,Year,Month,Day,Hour,Minute,DHI,Temperature,Wind Speed,Solar Zenith Angle,Surface Albedo,GHI,DNI,datetime,datetime_utc,datetime_local,Kt,date,daily_kt
0,2019,1,1,0,0,0,21.6,0.9,134.75,0.17,0,0,2019-01-01 00:00:00,2019-01-01 00:00:00+00:00,2018-12-31 22:00:00-02:00,,2018-12-31,
1,2019,1,1,0,30,0,21.3,0.8,134.78,0.17,0,0,2019-01-01 00:30:00,2019-01-01 00:30:00+00:00,2018-12-31 22:30:00-02:00,,2018-12-31,
2,2019,1,1,1,0,0,21.0,0.7000000000000001,133.66,0.17,0,0,2019-01-01 01:00:00,2019-01-01 01:00:00+00:00,2018-12-31 23:00:00-02:00,,2018-12-31,
3,2019,1,1,1,30,0,20.9,0.6000000000000001,131.45,0.17,0,0,2019-01-01 01:30:00,2019-01-01 01:30:00+00:00,2018-12-31 23:30:00-02:00,,2018-12-31,
4,2019,1,1,2,0,0,20.700000000000003,0.6000000000000001,128.3,0.17,0,0,2019-01-01 02:00:00,2019-01-01 02:00:00+00:00,2019-01-01 00:00:00-02:00,,2019-01-01,
5,2019,1,1,2,30,0,20.6,0.5,124.36,0.17,0,0,2019-01-01 02:30:00,2019-01-01 02:30:00+00:00,2019-01-01 00:30:00-02:00,,2019-01-01,
6,2019,1,1,3,0,0,20.5,0.5,119.8,0.17,0,0,2019-01-01 03:00:00,2019-01-01 03:00:00+00:00,2019-01-01 01:00:00-02:00,,2019-01-01,
7,2019,1,1,3,30,0,20.5,0.5,114.73,0.17,0,0,2019-01-01 03:30:00,2019-01-01 03:30:00+00:00,2019-01-01 01:30:00-02:00,,2019-01-01,
8,2019,1,1,4,0,0,20.5,0.5,109.28,0.17,0,0,2019-01-01 04:00:00,2019-01-01 04:00:00+00:00,2019-01-01 02:00:00-02:00,,2019-01-01,
9,2019,1,1,4,30,0,20.6,0.4,103.53,0.17,0,0,2019-01-01 04:30:00,2019-01-01 04:30:00+00:00,2019-01-01 02:30:00-02:00,,2019-01-01,
10,2019,1,1,5,0,0,20.700000000000003,0.4,97.53,0.17,0,0,2019-01-01 05:00:00,2019-01-01 05:00:00+00:00,2019-01-01 03:00:00-02:00,,2019-01-01,
11,2019,1,1,5,30,0,21.6,0.4,91.35,0.17,0,0,2019-01-01 05:30:00,2019-01-01 05:30:00+00:00,2019-01-01 03:30:00-02:00,,2019-01-01,
12,2019,1,1,6,0,32,22.5,0.5,84.86,0.17,52,220,2019-01-01 06:00:00,2019-01-01 06:00:00+00:00,2019-01-01 04:00:00-02:00,,2019-01-01,
13,2019,1,1,6,30,60,23.8,0.8,78.47,0.17,149,446,2019-01-01 06:30:00,2019-01-01 06:30:00+00:00,2019-01-01 04:30:00-02:00,,2019-01-01,
14,2019,1,1,7,0,75,25.200000000000003,1.2000000000000002,71.94,0.17,264,607,2019-01-01 07:00:00,2019-01-01 07:00:00+00:00,2019-01-01 05:00:00-02:00,,2019-01-01,
15,2019,1,1,7,30,89,26.3,1.6,65.31,0.17,383,703,2019-01-01 07:30:00,2019-01-01 07:30:00+00:00,2019-01-01 05:30:00-02:00,,2019-01-01,
16,2019,1,1,8,0,238,27.5,1.9,58.620000000000005,0.17,293,106,2019-01-01 08:00:00,2019-01-01 08:00:00+00:00,2019-01-01 06:00:00-02:00,,2019-01-01,
17,2019,1,1,8,30,75,28.3,2.0,51.86,0.17,75,0,2019-01-01 08:30:00,2019-01-01 08:30:00+00:00,2019-01-01 06:30:00-02:00,5.311346410394468,2019-01-01,
18,2019,1,1,9,0,138,29.1,2.1,45.07,0.17,138,0,2019-01-01 09:00:00,2019-01-01 09:00:00+00:00,2019-01-01 07:00:00-02:00,0.8156256106197173,2019-01-01,
19,2019,1,1,9,30,306,29.700000000000003,2.1,38.23,0.17,325,24,2019-01-01 09:30:00,2019-01-01 09:30:00+00:00,2019-01-01 07:30:00-02:00,0.9995167915815105,2019-01-01,
20,2019,1,1,10,0,374,30.4,2.1,31.37,0.17,406,38,2019-01-01 10:00:00,2019-01-01 10:00:00+00:00,2019-01-01 08:00:00-02:00,0.8469994303795289,2019-01-01,
21,2019,1,1,10,30,326,30.8,2.1,24.49,0.17,344,20,2019-01-01 10:30:00,2019-01-01 10:30:00+00:00,2019-01-01 08:30:00-02:00,0.5468088755114175,2019-01-01,
22,2019,1,1,11,0,263,31.3,2.0,17.59,0.17,278,15,2019-01-01 11:00:00,2019-01-01 11:00:00+00:00,2019-01-01 09:00:00-02:00,0.3601539487138535,2019-01-01,
23,2019,1,1,11,30,399,31.6,2.0,10.7,0.17,425,27,2019-01-01 11:30:00,2019-01-01 11:30:00+00:00,2019-01-01 09:30:00-02:00,0.469478672018864,2019-01-01,
24,2019,1,1,12,0,352,31.8,2.0,3.85,0.17,373,20,2019-01-01 12:00:00,2019-01-01 12:00:00+00:00,2019-01-01 10:00:00-02:00,0.363220177826001,2019-01-01,
